dimension	x	z	world_rng_next_calls	lighting_drain_calls
0	-32	-32	0	0
0	-31	-32	0	0
0	-31	-31	0	0
0	-32	-31	0	0
0	-33	-31	0	0
0	-33	-32	0	0
0	-33	-33	0	0
0	-32	-33	0	0
0	-31	-33	0	0
0	-30	-33	0	0
0	-30	-32	0	0
0	-30	-31	0	0
0	-30	-30	0	0
0	-31	-30	0	0
0	-32	-30	0	0
0	-33	-30	0	0
0	-34	-30	0	0
0	-34	-31	0	0
0	-34	-32	0	0
0	-34	-33	0	0
0	-34	-34	0	0
0	-33	-34	0	0
0	-32	-34	0	0
0	-31	-34	0	0
0	-30	-34	0	0
0	0	0	0	0
0	1	0	0	0
0	1	1	0	0
0	0	1	0	0
0	-1	1	0	0
0	-1	0	0	0
0	-1	-1	0	0
0	0	-1	0	0
0	1	-1	0	0
0	2	-1	0	0
0	2	0	0	0
0	2	1	0	0
0	2	2	0	0
0	1	2	0	0
0	0	2	0	0
0	-1	2	0	0
0	-2	2	0	0
0	-2	1	0	0
0	-2	0	0	0
0	-2	-1	0	0
0	-2	-2	0	0
0	-1	-2	0	0
0	0	-2	0	0
0	1	-2	0	0
0	2	-2	0	0
0	32	32	0	0
0	33	32	0	0
0	33	33	0	0
0	32	33	0	0
0	31	33	0	0
0	31	32	0	0
0	31	31	0	0
0	32	31	0	0
0	33	31	0	0
0	34	31	0	0
0	34	32	0	0
0	34	33	0	0
0	34	34	0	0
0	33	34	0	0
0	32	34	0	0
0	31	34	0	0
0	30	34	0	0
0	30	33	0	0
0	30	32	0	0
0	30	31	0	0
0	30	30	0	0
0	31	30	0	0
0	32	30	0	0
0	33	30	0	0
0	34	30	0	0
1	-32	-32	0	0
1	-31	-32	0	0
1	-31	-31	0	0
1	-32	-31	0	0
1	-33	-31	0	0
1	-33	-32	0	0
1	-33	-33	0	0
1	-32	-33	0	0
1	-31	-33	0	0
1	-30	-33	0	0
1	-30	-32	0	0
1	-30	-31	0	0
1	-30	-30	0	0
1	-31	-30	0	0
1	-32	-30	0	0
1	-33	-30	0	0
1	-34	-30	0	0
1	-34	-31	0	0
1	-34	-32	0	0
1	-34	-33	0	0
1	-34	-34	0	0
1	-33	-34	0	0
1	-32	-34	0	0
1	-31	-34	0	0
1	-30	-34	0	0
1	0	0	0	0
1	1	0	0	0
1	1	1	0	0
1	0	1	0	0
1	-1	1	0	0
1	-1	0	0	0
1	-1	-1	0	0
1	0	-1	0	0
1	1	-1	0	0
1	2	-1	0	0
1	2	0	0	0
1	2	1	0	0
1	2	2	0	0
1	1	2	0	0
1	0	2	0	0
1	-1	2	0	0
1	-2	2	0	0
1	-2	1	0	0
1	-2	0	0	0
1	-2	-1	0	0
1	-2	-2	0	0
1	-1	-2	0	0
1	0	-2	0	0
1	1	-2	0	0
1	2	-2	0	0
1	32	32	0	0
1	33	32	0	0
1	33	33	0	0
1	32	33	0	0
1	31	33	0	0
1	31	32	0	0
1	31	31	0	0
1	32	31	0	0
1	33	31	0	0
1	34	31	0	0
1	34	32	0	0
1	34	33	0	0
1	34	34	0	0
1	33	34	0	0
1	32	34	0	0
1	31	34	0	0
1	30	34	0	0
1	30	33	0	0
1	30	32	0	0
1	30	31	0	0
1	30	30	0	0
1	31	30	0	0
1	32	30	0	0
1	33	30	0	0
1	34	30	0	0
