dimension	x	z	world_rng_next_calls	lighting_drain_calls
0	-11	-14	0	1
0	-11	-13	0	1
0	-11	-12	0	1
0	-11	-11	0	1
0	-11	-10	0	1
0	-11	-9	0	1
0	-11	-8	0	1
0	-11	-7	0	1
0	-11	-6	0	1
0	-11	-5	0	1
0	-11	-4	0	1
0	-11	-3	0	1
0	-11	-2	0	1
0	-11	-1	0	1
0	-11	0	0	1
0	-11	1	0	1
0	-11	2	0	1
0	-11	3	0	1
0	-11	4	0	1
0	-11	5	0	1
0	-11	6	0	1
0	-11	7	0	1
0	-11	8	0	1
0	-11	9	0	1
0	-11	10	0	1
0	-10	-14	0	1
0	-10	-13	0	3
0	-10	-12	0	2
0	-10	-11	0	2
0	-10	-10	0	2
0	-10	-9	0	2
0	-10	-8	0	2
0	-10	-7	0	2
0	-10	-6	0	3
0	-10	-5	0	3
0	-10	-4	0	2
0	-10	-3	0	3
0	-10	-2	0	3
0	-10	-1	2	3
0	-10	0	2	7
0	-10	1	2	2
0	-10	2	2	1
0	-10	3	2	2
0	-10	4	2	1
0	-10	5	2	2
0	-10	6	2	2
0	-10	7	2	1
0	-10	8	2	1
0	-10	9	2	1
0	-10	10	2	1
0	-9	-14	2	1
0	-9	-13	2	2
0	-9	-12	2	2
0	-9	-11	16	2
0	-9	-10	16	1
0	-9	-9	16	1
0	-9	-8	16	2
0	-9	-7	16	1
0	-9	-6	16	2
0	-9	-5	16	2
0	-9	-4	16	2
0	-9	-3	16	2
0	-9	-2	16	2
0	-9	-1	17	2
0	-9	0	17	3
0	-9	1	18	2
0	-9	2	22	2
0	-9	3	22	2
0	-9	4	22	1
0	-9	5	22	1
0	-9	6	22	1
0	-9	7	22	1
0	-9	8	22	2
0	-9	9	22	1
0	-9	10	22	1
0	-8	-14	22	1
0	-8	-13	26	2
0	-8	-12	26	1
0	-8	-11	26	2
0	-8	-10	27	2
0	-8	-9	27	2
0	-8	-8	27	2
0	-8	-7	27	2
0	-8	-6	27	2
0	-8	-5	27	2
0	-8	-4	27	2
0	-8	-3	27	2
0	-8	-2	27	1
0	-8	-1	27	1
0	-8	0	27	1
0	-8	1	30	3
0	-8	2	34	2
0	-8	3	34	1
0	-8	4	34	1
0	-8	5	34	2
0	-8	6	34	2
0	-8	7	34	1
0	-8	8	34	2
0	-8	9	34	1
0	-8	10	34	2
0	-7	-14	34	1
0	-7	-13	34	1
0	-7	-12	34	3
0	-7	-11	34	2
0	-7	-10	34	3
