dimension	x	z	world_rng_next_calls	lighting_drain_calls
0	-32	-32	0	1
0	-31	-32	0	1
0	-31	-31	0	1
0	-32	-31	0	3
0	-33	-31	0	1
0	-33	-32	0	3
0	-33	-33	0	1
0	-32	-33	10	2
0	-31	-33	10	5
0	-30	-33	10	1
0	-30	-32	15	5
0	-30	-31	15	2
0	-30	-30	15	1
0	-31	-30	17	4
0	-32	-30	17	3
0	-33	-30	17	2
0	-34	-30	17	1
0	-34	-31	17	1
0	-34	-32	19	3
0	-34	-33	33	3
0	-34	-34	33	1
0	-33	-34	33	4
0	-32	-34	34	1
0	-31	-34	56	3
0	-30	-34	97	3
0	0	0	97	1
0	1	0	97	1
0	1	1	97	1
0	0	1	97	3
0	-1	1	97	1
0	-1	0	97	3
0	-1	-1	97	1
0	0	-1	97	4
0	1	-1	105	3
0	2	-1	105	2
0	2	0	108	4
0	2	1	108	3
0	2	2	108	1
0	1	2	108	6
0	0	2	108	3
0	-1	2	114	4
0	-2	2	114	1
0	-2	1	114	2
0	-2	0	114	2
0	-2	-1	114	3
0	-2	-2	114	1
0	-1	-2	114	5
0	0	-2	114	2
0	1	-2	121	3
0	2	-2	121	2
0	32	32	121	1
0	33	32	121	1
0	33	33	121	1
0	32	33	121	2
0	31	33	121	1
0	31	32	121	2
0	31	31	121	1
0	32	31	121	2
0	33	31	121	3
0	34	31	121	1
0	34	32	121	3
0	34	33	121	1
0	34	34	121	1
0	33	34	121	1
0	32	34	121	2
0	31	34	121	2
0	30	34	121	1
0	30	33	121	1
0	30	32	121	2
0	30	31	121	2
0	30	30	121	1
0	31	30	121	3
0	32	30	121	2
0	33	30	121	2
0	34	30	121	2
1	-32	-32	0	1
1	-31	-32	0	1
1	-31	-31	0	1
1	-32	-31	0	8
1	-33	-31	0	1
1	-33	-32	0	11
1	-33	-33	0	1
1	-32	-33	0	16
1	-31	-33	0	3
1	-30	-33	0	1
1	-30	-32	0	3
1	-30	-31	0	17
1	-30	-30	0	1
1	-31	-30	0	47
1	-32	-30	0	1
1	-33	-30	0	1
1	-34	-30	0	1
1	-34	-31	0	1
1	-34	-32	0	17
1	-34	-33	0	1
1	-34	-34	0	1
1	-33	-34	0	11
1	-32	-34	0	2
1	-31	-34	0	1
1	-30	-34	0	1
1	0	0	0	1
1	1	0	0	1
1	1	1	0	1
1	0	1	0	10
1	-1	1	0	1
1	-1	0	0	1
1	-1	-1	0	1
1	0	-1	0	1
1	1	-1	0	1
1	2	-1	0	1
1	2	0	0	1
1	2	1	0	1
1	2	2	0	1
1	1	2	0	1
1	0	2	0	5
1	-1	2	0	12
1	-2	2	0	1
1	-2	1	0	1
1	-2	0	0	58
1	-2	-1	0	1
1	-2	-2	0	1
1	-1	-2	0	4
1	0	-2	0	6
1	1	-2	0	5
1	2	-2	0	1
1	32	32	0	1
1	33	32	0	1
1	33	33	0	1
1	32	33	0	5
1	31	33	0	1
1	31	32	0	6
1	31	31	0	1
1	32	31	0	1
1	33	31	0	6
1	34	31	0	1
1	34	32	0	1
1	34	33	0	2
1	34	34	0	1
1	33	34	0	4
1	32	34	0	5
1	31	34	0	12
1	30	34	0	1
1	30	33	0	1
1	30	32	0	1
1	30	31	0	24
1	30	30	0	1
1	31	30	0	15
1	32	30	0	1
1	33	30	0	21
1	34	30	0	1
