dimension	x	z	world_rng_next_calls	lighting_drain_calls
0	-34	-34	0	1
0	-34	-33	0	1
0	-34	-32	0	1
0	-34	-31	0	1
0	-34	-30	0	1
0	-33	-34	0	1
0	-33	-33	0	10
0	-33	-32	0	3
0	-33	-31	0	3
0	-33	-30	0	4
0	-32	-34	0	1
0	-32	-33	0	9
0	-32	-32	0	5
0	-32	-31	0	5
0	-32	-30	0	3
0	-31	-34	0	1
0	-31	-33	0	5
0	-31	-32	0	9
0	-31	-31	0	5
0	-31	-30	0	3
0	-30	-34	0	1
0	-30	-33	0	6
0	-30	-32	0	3
0	-30	-31	0	2
0	-30	-30	0	2
0	-2	-2	0	1
0	-2	-1	0	1
0	-2	0	0	1
0	-2	1	0	1
0	-2	2	0	1
0	-1	-2	0	1
0	-1	-1	0	4
0	-1	0	0	2
0	-1	1	0	2
0	-1	2	0	2
0	0	-2	0	1
0	0	-1	0	1
0	0	0	0	2
0	0	1	0	2
0	0	2	0	2
0	1	-2	0	1
0	1	-1	0	2
0	1	0	0	2
0	1	1	0	2
0	1	2	0	1
0	2	-2	0	1
0	2	-1	8	3
0	2	0	8	2
0	2	1	8	3
0	2	2	12	2
0	30	30	12	1
0	30	31	12	1
0	30	32	12	1
0	30	33	12	1
0	30	34	12	1
0	31	30	12	1
0	31	31	12	2
0	31	32	12	2
0	31	33	12	3
0	31	34	12	1
0	32	30	12	1
0	32	31	12	2
0	32	32	12	2
0	32	33	12	2
0	32	34	12	3
0	33	30	12	1
0	33	31	12	2
0	33	32	12	2
0	33	33	12	2
0	33	34	12	2
0	34	30	12	1
0	34	31	12	1
0	34	32	12	2
0	34	33	12	1
0	34	34	12	2
1	-34	-34	0	1
1	-34	-33	0	1
1	-34	-32	0	1
1	-34	-31	0	1
1	-34	-30	0	1
1	-33	-34	0	1
1	-33	-33	0	6
1	-33	-32	0	1
1	-33	-31	0	1
1	-33	-30	0	1
1	-32	-34	0	1
1	-32	-33	0	30
1	-32	-32	0	9
1	-32	-31	0	5
1	-32	-30	0	5
1	-31	-34	0	1
1	-31	-33	0	1
1	-31	-32	0	1
1	-31	-31	0	1
1	-31	-30	0	1
1	-30	-34	0	1
1	-30	-33	0	4
1	-30	-32	0	1
1	-30	-31	0	8
1	-30	-30	0	1
1	-2	-2	0	1
1	-2	-1	0	1
1	-2	0	0	1
1	-2	1	0	1
1	-2	2	0	1
1	-1	-2	0	1
1	-1	-1	0	1
1	-1	0	0	88
1	-1	1	0	1
1	-1	2	0	7
1	0	-2	0	1
1	0	-1	0	1
1	0	0	0	73
1	0	1	0	1
1	0	2	0	1
1	1	-2	0	1
1	1	-1	0	1
1	1	0	0	1
1	1	1	0	1
1	1	2	0	1
1	2	-2	0	1
1	2	-1	0	2
1	2	0	0	1
1	2	1	0	1
1	2	2	0	3
1	30	30	0	1
1	30	31	0	1
1	30	32	0	1
1	30	33	0	1
1	30	34	0	1
1	31	30	0	1
1	31	31	0	3
1	31	32	0	1
1	31	33	0	6
1	31	34	0	7
1	32	30	0	1
1	32	31	0	3
1	32	32	0	1
1	32	33	0	11
1	32	34	0	1
1	33	30	0	1
1	33	31	0	1
1	33	32	0	1
1	33	33	0	12
1	33	34	0	4
1	34	30	0	1
1	34	31	0	1
1	34	32	0	1
1	34	33	0	2
1	34	34	0	1
