dimension	x	z	world_rng_next_calls	lighting_drain_calls
0	34	34	0	1
0	34	33	0	1
0	34	32	0	1
0	34	31	0	1
0	34	30	0	1
0	33	34	0	1
0	33	33	0	9
0	33	32	14	7
0	33	31	14	2
0	33	30	14	2
0	32	34	14	1
0	32	33	17	8
0	32	32	17	6
0	32	31	17	2
0	32	30	17	2
0	31	34	17	1
0	31	33	17	3
0	31	32	18	7
0	31	31	18	2
0	31	30	19	4
0	30	34	19	1
0	30	33	19	10
0	30	32	19	6
0	30	31	20	4
0	30	30	20	6
0	2	2	20	1
0	2	1	20	1
0	2	0	20	1
0	2	-1	20	1
0	2	-2	20	1
0	1	2	20	1
0	1	1	20	3
0	1	0	21	3
0	1	-1	21	3
0	1	-2	21	3
0	0	2	21	1
0	0	1	22	3
0	0	0	22	3
0	0	-1	22	4
0	0	-2	22	4
0	-1	2	22	1
0	-1	1	30	6
0	-1	0	44	5
0	-1	-1	44	3
0	-1	-2	44	5
0	-2	2	44	1
0	-2	1	50	5
0	-2	0	50	4
0	-2	-1	53	7
0	-2	-2	53	7
0	-30	-30	53	1
0	-30	-31	53	1
0	-30	-32	53	1
0	-30	-33	53	1
0	-30	-34	53	1
0	-31	-30	53	1
0	-31	-31	53	2
0	-31	-32	53	6
0	-31	-33	53	4
0	-31	-34	53	4
0	-32	-30	53	1
0	-32	-31	53	2
0	-32	-32	53	2
0	-32	-33	53	2
0	-32	-34	53	3
0	-33	-30	53	1
0	-33	-31	53	2
0	-33	-32	53	2
0	-33	-33	53	2
0	-33	-34	53	2
0	-34	-30	53	1
0	-34	-31	53	7
0	-34	-32	53	2
0	-34	-33	53	2
0	-34	-34	53	1
1	34	34	0	1
1	34	33	0	1
1	34	32	0	1
1	34	31	0	1
1	34	30	0	1
1	33	34	0	1
1	33	33	0	1
1	33	32	0	1
1	33	31	0	6
1	33	30	0	13
1	32	34	0	1
1	32	33	0	31
1	32	32	0	1
1	32	31	0	1
1	32	30	0	1
1	31	34	0	1
1	31	33	0	1
1	31	32	0	1
1	31	31	0	1
1	31	30	0	5
1	30	34	0	1
1	30	33	0	1
1	30	32	0	1
1	30	31	0	8
1	30	30	0	2
1	2	2	0	1
1	2	1	0	1
1	2	0	0	1
1	2	-1	0	1
1	2	-2	0	1
1	1	2	0	1
1	1	1	0	1
1	1	0	0	1
1	1	-1	0	2
1	1	-2	0	17
1	0	2	0	1
1	0	1	0	5
1	0	0	0	4
1	0	-1	0	1
1	0	-2	0	20
1	-1	2	0	1
1	-1	1	0	2
1	-1	0	0	6
1	-1	-1	0	3
1	-1	-2	4	4
1	-2	2	4	1
1	-2	1	4	1
1	-2	0	4	1
1	-2	-1	4	3
1	-2	-2	4	1
1	-30	-30	4	1
1	-30	-31	4	1
1	-30	-32	4	1
1	-30	-33	4	1
1	-30	-34	4	1
1	-31	-30	4	1
1	-31	-31	4	1
1	-31	-32	4	4
1	-31	-33	4	3
1	-31	-34	4	2
1	-32	-30	4	1
1	-32	-31	4	1
1	-32	-32	4	5
1	-32	-33	4	1
1	-32	-34	4	6
1	-33	-30	4	1
1	-33	-31	4	1
1	-33	-32	4	2
1	-33	-33	4	1
1	-33	-34	4	1
1	-34	-30	4	1
1	-34	-31	4	5
1	-34	-32	4	4
1	-34	-33	4	1
1	-34	-34	4	1
