dimension	x	z	world_rng_next_calls	lighting_drain_calls
0	-32	-32	0	1
0	-31	-32	0	1
0	-31	-31	0	1
0	-32	-31	0	2
0	-33	-31	0	1
0	-33	-32	0	2
0	-33	-33	0	1
0	-32	-33	0	2
0	-31	-33	0	2
0	-30	-33	0	1
0	-30	-32	0	4
0	-30	-31	0	6
0	-30	-30	0	1
0	-31	-30	0	3
0	-32	-30	0	2
0	-33	-30	0	2
0	-34	-30	0	1
0	-34	-31	0	7
0	-34	-32	0	2
0	-34	-33	0	2
0	-34	-34	0	1
0	-33	-34	0	1
0	-32	-34	0	2
0	-31	-34	0	3
0	-30	-34	0	4
0	0	0	0	1
0	1	0	0	1
0	1	1	0	1
0	0	1	0	4
0	-1	1	0	1
0	-1	0	14	7
0	-1	-1	14	1
0	0	-1	14	3
0	1	-1	14	4
0	2	-1	14	1
0	2	0	14	3
0	2	1	16	3
0	2	2	16	1
0	1	2	16	3
0	0	2	17	3
0	-1	2	25	4
0	-2	2	25	1
0	-2	1	31	5
0	-2	0	31	4
0	-2	-1	33	7
0	-2	-2	33	1
0	-1	-2	33	7
0	0	-2	33	5
0	1	-2	33	4
0	2	-2	33	3
0	32	32	33	1
0	33	32	33	1
0	33	33	33	1
0	32	33	33	6
0	31	33	33	1
0	31	32	34	6
0	31	31	34	1
0	32	31	34	2
0	33	31	34	2
0	34	31	34	1
0	34	32	34	4
0	34	33	35	5
0	34	34	35	1
0	33	34	35	8
0	32	34	37	8
0	31	34	37	3
0	30	34	37	1
0	30	33	37	11
0	30	32	37	6
0	30	31	38	4
0	30	30	38	1
0	31	30	38	7
0	32	30	39	3
0	33	30	39	2
0	34	30	39	2
1	-32	-32	0	1
1	-31	-32	0	1
1	-31	-31	0	1
1	-32	-31	0	1
1	-33	-31	0	1
1	-33	-32	0	3
1	-33	-33	0	1
1	-32	-33	0	1
1	-31	-33	0	4
1	-30	-33	0	1
1	-30	-32	0	5
1	-30	-31	0	1
1	-30	-30	0	1
1	-31	-30	0	1
1	-32	-30	0	4
1	-33	-30	0	4
1	-34	-30	0	1
1	-34	-31	0	4
1	-34	-32	0	4
1	-34	-33	0	1
1	-34	-34	0	1
1	-33	-34	0	1
1	-32	-34	0	3
1	-31	-34	0	3
1	-30	-34	0	2
1	0	0	0	1
1	1	0	0	1
1	1	1	0	1
1	0	1	0	5
1	-1	1	0	1
1	-1	0	0	6
1	-1	-1	0	1
1	0	-1	0	1
1	1	-1	0	1
1	2	-1	0	1
1	2	0	0	17
1	2	1	0	1
1	2	2	0	1
1	1	2	0	1
1	0	2	0	1
1	-1	2	0	1
1	-2	2	0	1
1	-2	1	0	1
1	-2	0	0	1
1	-2	-1	0	3
1	-2	-2	0	1
1	-1	-2	0	10
1	0	-2	0	13
1	1	-2	0	31
1	2	-2	0	1
1	32	32	0	1
1	33	32	0	1
1	33	33	0	1
1	32	33	0	1
1	31	33	0	1
1	31	32	0	1
1	31	31	0	1
1	32	31	0	1
1	33	31	0	1
1	34	31	0	1
1	34	32	0	1
1	34	33	0	20
1	34	34	0	1
1	33	34	0	7
1	32	34	0	4
1	31	34	0	9
1	30	34	0	1
1	30	33	0	1
1	30	32	0	1
1	30	31	0	9
1	30	30	0	1
1	31	30	0	4
1	32	30	0	5
1	33	30	0	20
1	34	30	0	1
