dimension	x	z	world_rng_next_calls	lighting_drain_calls
0	-34	-34	0	1
0	-34	-33	0	1
0	-34	-32	0	1
0	-34	-31	0	1
0	-34	-30	0	1
0	-33	-34	0	1
0	-33	-33	0	1
0	-33	-32	0	2
0	-33	-31	0	2
0	-33	-30	0	7
0	-32	-34	0	1
0	-32	-33	0	2
0	-32	-32	0	2
0	-32	-31	0	2
0	-32	-30	0	2
0	-31	-34	0	1
0	-31	-33	0	3
0	-31	-32	0	2
0	-31	-31	0	2
0	-31	-30	0	2
0	-30	-34	0	1
0	-30	-33	0	4
0	-30	-32	0	4
0	-30	-31	0	6
0	-30	-30	0	3
0	-2	-2	0	1
0	-2	-1	0	1
0	-2	0	0	1
0	-2	1	0	1
0	-2	2	0	1
0	-1	-2	0	1
0	-1	-1	0	8
0	-1	0	2	7
0	-1	1	2	10
0	-1	2	8	4
0	0	-2	8	1
0	0	-1	8	5
0	0	0	8	2
0	0	1	22	6
0	0	2	44	4
0	1	-2	44	1
0	1	-1	44	4
0	1	0	44	4
0	1	1	44	3
0	1	2	45	2
0	2	-2	45	1
0	2	-1	45	3
0	2	0	45	3
0	2	1	52	3
0	2	2	52	2
0	30	30	52	1
0	30	31	52	1
0	30	32	52	1
0	30	33	52	1
0	30	34	52	1
0	31	30	52	1
0	31	31	52	8
0	31	32	53	5
0	31	33	53	6
0	31	34	53	11
0	32	30	53	1
0	32	31	54	3
0	32	32	54	1
0	32	33	68	9
0	32	34	68	4
0	33	30	68	1
0	33	31	68	2
0	33	32	68	2
0	33	33	68	6
0	33	34	71	7
0	34	30	71	1
0	34	31	71	2
0	34	32	71	4
0	34	33	72	5
0	34	34	72	9
1	-34	-34	0	1
1	-34	-33	0	1
1	-34	-32	0	1
1	-34	-31	0	1
1	-34	-30	0	1
1	-33	-34	0	1
1	-33	-33	0	1
1	-33	-32	0	1
1	-33	-31	0	1
1	-33	-30	0	4
1	-32	-34	0	1
1	-32	-33	0	1
1	-32	-32	0	3
1	-32	-31	0	1
1	-32	-30	0	7
1	-31	-34	0	1
1	-31	-33	0	1
1	-31	-32	0	1
1	-31	-31	0	1
1	-31	-30	0	1
1	-30	-34	0	1
1	-30	-33	0	10
1	-30	-32	0	5
1	-30	-31	0	1
1	-30	-30	0	1
1	-2	-2	0	1
1	-2	-1	0	1
1	-2	0	0	1
1	-2	1	0	1
1	-2	2	0	1
1	-1	-2	0	1
1	-1	-1	0	21
1	-1	0	0	5
1	-1	1	0	2
1	-1	2	0	1
1	0	-2	0	1
1	0	-1	0	1
1	0	0	0	5
1	0	1	0	3
1	0	2	0	7
1	1	-2	0	1
1	1	-1	0	2
1	1	0	0	7
1	1	1	0	1
1	1	2	0	1
1	2	-2	0	1
1	2	-1	0	1
1	2	0	0	29
1	2	1	0	1
1	2	2	0	1
1	30	30	0	1
1	30	31	0	1
1	30	32	0	1
1	30	33	0	1
1	30	34	0	1
1	31	30	0	1
1	31	31	0	1
1	31	32	0	2
1	31	33	0	3
1	31	34	0	4
1	32	30	0	1
1	32	31	0	5
1	32	32	0	32
1	32	33	0	1
1	32	34	0	4
1	33	30	0	1
1	33	31	0	3
1	33	32	0	4
1	33	33	0	1
1	33	34	0	3
1	34	30	0	1
1	34	31	0	2
1	34	32	0	1
1	34	33	0	29
1	34	34	0	10
