dimension	x	z	world_rng_next_calls	lighting_drain_calls
0	34	34	0	1
0	34	33	0	1
0	34	32	0	1
0	34	31	0	1
0	34	30	0	1
0	33	34	0	1
0	33	33	0	1
0	33	32	0	1
0	33	31	0	3
0	33	30	0	2
0	32	34	0	1
0	32	33	0	2
0	32	32	0	2
0	32	31	0	2
0	32	30	0	2
0	31	34	0	1
0	31	33	0	2
0	31	32	0	2
0	31	31	0	2
0	31	30	0	3
0	30	34	0	1
0	30	33	0	1
0	30	32	0	2
0	30	31	0	2
0	30	30	0	3
0	2	2	0	1
0	2	1	0	1
0	2	0	0	1
0	2	-1	0	1
0	2	-2	0	1
0	1	2	0	1
0	1	1	0	6
0	1	0	0	3
0	1	-1	3	5
0	1	-2	3	2
0	0	2	3	1
0	0	1	3	3
0	0	0	3	3
0	0	-1	3	4
0	0	-2	9	3
0	-1	2	9	1
0	-1	1	17	4
0	-1	0	17	3
0	-1	-1	17	3
0	-1	-2	17	2
0	-2	2	17	1
0	-2	1	17	2
0	-2	0	17	2
0	-2	-1	17	5
0	-2	-2	17	4
0	-30	-30	17	1
0	-30	-31	17	1
0	-30	-32	17	1
0	-30	-33	17	1
0	-30	-34	17	1
0	-31	-30	17	1
0	-31	-31	18	4
0	-31	-32	18	5
0	-31	-33	19	3
0	-31	-34	60	4
0	-32	-30	60	1
0	-32	-31	60	3
0	-32	-32	60	2
0	-32	-33	60	3
0	-32	-34	60	1
0	-33	-30	60	1
0	-33	-31	60	3
0	-33	-32	60	2
0	-33	-33	70	2
0	-33	-34	71	1
0	-34	-30	71	1
0	-34	-31	71	1
0	-34	-32	73	3
0	-34	-33	87	3
0	-34	-34	87	4
1	34	34	0	1
1	34	33	0	1
1	34	32	0	1
1	34	31	0	1
1	34	30	0	1
1	33	34	0	1
1	33	33	0	1
1	33	32	0	17
1	33	31	0	5
1	33	30	0	8
1	32	34	0	1
1	32	33	0	7
1	32	32	0	1
1	32	31	0	1
1	32	30	0	1
1	31	34	0	1
1	31	33	0	1
1	31	32	0	6
1	31	31	0	29
1	31	30	0	8
1	30	34	0	1
1	30	33	0	1
1	30	32	0	1
1	30	31	0	17
1	30	30	0	5
1	2	2	0	1
1	2	1	0	1
1	2	0	0	1
1	2	-1	0	1
1	2	-2	0	1
1	1	2	0	1
1	1	1	0	4
1	1	0	0	1
1	1	-1	0	1
1	1	-2	0	64
1	0	2	0	1
1	0	1	0	1
1	0	0	0	1
1	0	-1	0	1
1	0	-2	0	25
1	-1	2	0	1
1	-1	1	0	6
1	-1	0	0	1
1	-1	-1	0	5
1	-1	-2	4	10
1	-2	2	4	1
1	-2	1	4	1
1	-2	0	4	37
1	-2	-1	4	1
1	-2	-2	4	11
1	-30	-30	4	1
1	-30	-31	4	1
1	-30	-32	4	1
1	-30	-33	4	1
1	-30	-34	4	1
1	-31	-30	4	1
1	-31	-31	4	11
1	-31	-32	4	1
1	-31	-33	4	1
1	-31	-34	4	1
1	-32	-30	4	1
1	-32	-31	4	4
1	-32	-32	4	4
1	-32	-33	4	2
1	-32	-34	4	4
1	-33	-30	4	1
1	-33	-31	4	1
1	-33	-32	4	60
1	-33	-33	4	9
1	-33	-34	4	1
1	-34	-30	4	1
1	-34	-31	4	1
1	-34	-32	4	19
1	-34	-33	4	1
1	-34	-34	4	4
