net.minecraft.src.Achievement	field_27062_m	isSpecial
net.minecraft.src.AchievementList	field_27103_p	cookFish
net.minecraft.src.BiomeGenBase	field_6161_q	field_6502_q
net.minecraft.src.BlockRedstoneRepeater	field_22014_a	field_22024_a
net.minecraft.src.BlockStep	field_22027_a	field_22037_a
net.minecraft.src.ChunkProviderGenerate	field_707_i	field_914_i
net.minecraft.src.ChunkProviderSky	field_28086_i	field_28088_i
net.minecraft.src.Container	field_20132_a	field_20917_a
net.minecraft.src.Container	field_20131_b	field_20918_b
net.minecraft.src.EntityChicken	field_392_a	field_753_a
net.minecraft.src.EntityItem	field_432_ae	field_804_d
net.minecraft.src.EntityLiving	field_9120_aF	field_9358_y
net.minecraft.src.EntityLiving	field_9118_aH	field_9355_A
net.minecraft.src.EntityLiving	field_9115_aK	field_9349_D
net.minecraft.src.EntityLiving	field_9113_aM	field_9345_F
net.minecraft.src.EntityLiving	field_9144_ba	field_9326_T
net.minecraft.src.EntityLiving	field_9143_bb	field_9325_U
net.minecraft.src.EntityLiving	field_9134_bl	field_9348_ae
net.minecraft.src.EntityPlayer	field_9152_am	field_9371_f
net.minecraft.src.EntitySheep	field_21071_a	fleeceColorTable
net.minecraft.src.ItemDye	field_31023_bk	field_31002_bk
net.minecraft.src.WorldProvider	field_6164_h	colorsSunriseSunset
