# declaring class	member	canonical name
net.minecraft.src.Block	bed	blockBed
net.minecraft.src.Block	bloodStone	netherrack
net.minecraft.src.Block	isACube	renderAsNormalBlock
net.minecraft.src.Block	requiresSelfNotify	field_28032_t
net.minecraft.src.Block	shouldSideBeRendered	getIsBlockSolid
net.minecraft.src.BlockFlowing	field_659_a	numAdjacentSources
net.minecraft.src.BlockFlowing	func_307_e	getSmallestFlowDecay
net.minecraft.src.BlockFlowing	func_4035_j	getOptimalFlowDirections
net.minecraft.src.BlockPistonBase	ignoreUpdates	field_31048_b
net.minecraft.src.BlockPistonBase	isExtended	isPowered
net.minecraft.src.BlockPistonBase	tryExtend	func_31047_i
net.minecraft.src.BlockPistonBase	updatePistonState	func_31043_h
net.minecraft.src.BlockPistonMoving	getTileEntity	func_31036_a
net.minecraft.src.BlockPistonMoving	getTileEntityAtLocation	func_31034_c
net.minecraft.src.BlockRail	func_27033_a	isPoweredBlockRail
net.minecraft.src.BlockRedstoneRepeater	field_22013_b	field_22023_b
net.minecraft.src.ChunkProvider	chunkGenerator	chunkProvider
net.minecraft.src.ChunkProvider	field_28061_b	field_28064_b
net.minecraft.src.ChunkProvider	field_28062_a	droppedChunksSet
net.minecraft.src.ChunkProvider	worldObj	field_28066_g
net.minecraft.src.ChunkProviderHell	field_4231_r	field_4160_r
net.minecraft.src.ChunkProviderHell	field_4232_q	field_4161_q
net.minecraft.src.ChunkProviderHell	field_4233_p	field_4162_p
net.minecraft.src.ChunkProviderHell	field_4234_o	field_4163_o
net.minecraft.src.ChunkProviderHell	func_4060_a	func_4057_a
net.minecraft.src.ChunkProviderSky	field_28072_w	field_28074_w
net.minecraft.src.Container	canInteractWith	isUsableByPlayer
net.minecraft.src.Container	inventoryItemStacks	field_20123_d
net.minecraft.src.Container	inventorySlots	slots
net.minecraft.src.Container	updateCraftingMatrix	updateCraftingResults
net.minecraft.src.ContainerPlayer	isMP	isSinglePlayer
net.minecraft.src.EntityBoat	damageTaken	boatCurrentDamage
net.minecraft.src.EntityBoat	field_9171_al	field_9389_i
net.minecraft.src.EntityBoat	field_9172_f	field_9392_f
net.minecraft.src.EntityBoat	field_9173_ak	field_9390_h
net.minecraft.src.EntityBoat	field_9174_e	field_9393_e
net.minecraft.src.EntityBoat	field_9175_aj	field_9391_g
